Destination,Type,Season,TravelGroup,Activities,BudgetPerPerson,Duration,HealthCondition,NumPeople,Region
Paris,City,Summer,Couple,"Sightseeing,Culture",12577,Long,Heart Issues,1,Other
Dubai,City,Winter,Solo,"Shopping,Adventure",12596,Short,Asthma,3,Other
Leh,Mountain,Summer,Family,"Trekking,Adventure",11524,Long,None,1,India
Goa,Beach,Summer,Solo,"Beach,Party,Relaxation",21001,Long,Heart Issues,5,India
Goa,Beach,Summer,Friends,"Beach,Party,Relaxation",20532,Short,None,1,India
London,City,Winter,Couple,"Culture,Sightseeing",5451,Long,Heart Issues,1,Other
Dubai,City,Winter,Couple,"Shopping,Adventure",24218,Short,Asthma,4,Other
Paris,City,Summer,Solo,"Sightseeing,Culture",10096,Long,None,1,Other
Leh,Mountain,Summer,Solo,"Trekking,Adventure",10168,Short,Asthma,6,India
Manali,Mountain,Winter,Couple,"Trekking,Adventure",5339,Long,Asthma,3,India
Hampi,Historical,Winter,Friends,"Sightseeing,Photography",11410,Long,None,6,India
Singapore,City,Summer,Solo,"Shopping,ThemePark",12036,Short,Heart Issues,6,Other
Ooty,Hill/Beach,Winter,Couple,"Relaxation,Trekking",17368,Short,None,6,India
Manali,Mountain,Winter,Solo,"Trekking,Adventure",5282,Short,None,2,India
Hampi,Historical,Winter,Solo,"Sightseeing,Photography",21067,Short,None,6,India
Singapore,City,Summer,Couple,"Shopping,ThemePark",17129,Long,None,2,Other
Kerala,Hill/Beach,Monsoon,Friends,"Houseboat,Relaxation",23297,Short,Heart Issues,4,India
Goa,Beach,Summer,Friends,"Beach,Party,Relaxation",9284,Long,Asthma,5,India
Ooty,Hill/Beach,Winter,Solo,"Relaxation,Trekking",13862,Short,None,2,India
Manali,Mountain,Winter,Family,"Trekking,Adventure",20971,Long,Asthma,5,India
Dubai,City,Winter,Couple,"Shopping,Adventure",14865,Long,Asthma,4,Other
London,City,Winter,Family,"Culture,Sightseeing",12451,Long,None,1,Other
Ooty,Hill/Beach,Winter,Couple,"Relaxation,Trekking",14277,Long,None,2,India
Singapore,City,Summer,Friends,"Shopping,ThemePark",17462,Short,Asthma,2,Other
Paris,City,Summer,Solo,"Sightseeing,Culture",15692,Short,None,4,Other
Goa,Beach,Summer,Friends,"Beach,Party,Relaxation",14058,Long,Heart Issues,2,India
Goa,Beach,Summer,Family,"Beach,Party,Relaxation",18142,Short,None,2,India
Goa,Beach,Summer,Family,"Beach,Party,Relaxation",4407,Long,Asthma,4,India
Manali,Mountain,Winter,Couple,"Trekking,Adventure",3014,Short,Heart Issues,6,India
